gene_id	colors
Amillepora23215-RA	turquoise
Amillepora23254-RA	blue
Amillepora23278-RA	turquoise
Amillepora23336-RA	turquoise
Amillepora23358-RA	turquoise
Amillepora23389-RA	turquoise
Amillepora23410-RA	blue
Amillepora23421-RA	brown
Amillepora23443-RA	turquoise
Amillepora23434-RA	turquoise
Amillepora23448-RA	turquoise
Amillepora08596-RA	turquoise
Amillepora08634-RA	turquoise
Amillepora08662-RA	turquoise
Amillepora08664-RA	turquoise
Amillepora08693-RA	blue
Amillepora08707-RA	blue
Amillepora08789-RA	turquoise
Amillepora08800-RA	turquoise
Amillepora08803-RA	turquoise
Amillepora08802-RA	turquoise
Amillepora08829-RA	blue
Amillepora08861-RA	blue
Amillepora08887-RA	turquoise
Amillepora08886-RA	turquoise
Amillepora08910-RA	brown
Amillepora08904-RA	turquoise
Amillepora08947-RA	blue
Amillepora08948-RA	blue
Amillepora09007-RA	turquoise
Amillepora09049-RA	turquoise
Amillepora09063-RA	grey
Amillepora09117-RA	turquoise
Amillepora09116-RA	turquoise
Amillepora09136-RA	turquoise
Amillepora09143-RA	turquoise
Amillepora09190-RA	brown
Amillepora09208-RA	turquoise
Amillepora09221-RA	brown
Amillepora09230-RA	blue
Amillepora09288-RA	turquoise
Amillepora09295-RA	brown
Amillepora09309-RA	blue
Amillepora09354-RA	brown
Amillepora09350-RA	blue
Amillepora09370-RA	blue
Amillepora09390-RA	turquoise
Amillepora09413-RA	brown
Amillepora09417-RA	turquoise
Amillepora09473-RA	blue
Amillepora09479-RA	blue
Amillepora09500-RA	blue
Amillepora09502-RA	blue
Amillepora09525-RA	grey
Amillepora09526-RA	brown
Amillepora09532-RA	blue
Amillepora09557-RA	blue
Amillepora09575-RA	turquoise
Amillepora09576-RA	turquoise
Amillepora09605-RA	blue
Amillepora09626-RA	turquoise
Amillepora09638-RA	blue
Amillepora09672-RA	blue
Amillepora09679-RA	turquoise
Amillepora09716-RA	blue
Amillepora09718-RA	turquoise
Amillepora09729-RA	grey
Amillepora09771-RA	grey
Amillepora09783-RA	turquoise
Amillepora09800-RA	turquoise
Amillepora09795-RA	turquoise
Amillepora09798-RA	blue
Amillepora09854-RA	brown
Amillepora09908-RA	blue
Amillepora09913-RA	blue
Amillepora09914-RA	brown
Amillepora09942-RA	turquoise
Amillepora09984-RA	turquoise
Amillepora10010-RA	turquoise
Amillepora10009-RA	turquoise
Amillepora10019-RA	turquoise
Amillepora10093-RA	turquoise
Amillepora10110-RA	turquoise
Amillepora10128-RA	turquoise
Amillepora10142-RA	turquoise
Amillepora10189-RA	turquoise
Amillepora10204-RA	turquoise
Amillepora10232-RA	brown
Amillepora10238-RA	brown
Amillepora10329-RA	brown
Amillepora10330-RA	blue
Amillepora10344-RA	brown
Amillepora10467-RA	turquoise
Amillepora10499-RA	turquoise
Amillepora10500-RA	grey
Amillepora10540-RA	brown
Amillepora10564-RA	brown
Amillepora10632-RA	turquoise
Amillepora10633-RA	turquoise
Amillepora10649-RA	turquoise
Amillepora10651-RA	turquoise
Amillepora10666-RA	turquoise
Amillepora10674-RA	turquoise
Amillepora10682-RA	blue
Amillepora10680-RA	blue
Amillepora10693-RA	turquoise
Amillepora10695-RA	turquoise
Amillepora10767-RA	turquoise
Amillepora10783-RA	blue
Amillepora10787-RA	blue
Amillepora10813-RA	blue
Amillepora10853-RA	grey
Amillepora10899-RA	brown
Amillepora10900-RA	blue
Amillepora10906-RA	brown
Amillepora10913-RA	turquoise
